data,price,ClusterLabels,year,month,plotDate
2022-02-22,17200,0,2022,2,2
2022-02-22,5800,1,2022,2,2
2022-02-22,18000,0,2022,2,2
2022-02-22,16500,0,2022,2,2
2022-02-22,8000,1,2022,2,2
2022-02-22,6750,1,2022,2,2
2022-02-22,6000,1,2022,2,2
2022-02-22,17500,0,2022,2,2
2022-02-22,15000,0,2022,2,2
2022-02-22,18000,0,2022,2,2
2022-02-22,16990,0,2022,2,2
2022-02-22,13950,0,2022,2,2
2022-02-22,7800,1,2022,2,2
2022-02-22,5700,1,2022,2,2
2022-02-22,12999,0,2022,2,2
2022-02-22,10999,0,2022,2,2
2022-02-22,17900,0,2022,2,2
2022-02-22,14200,0,2022,2,2
2022-02-22,7200,1,2022,2,2
2022-02-22,14900,0,2022,2,2
2022-02-22,15900,0,2022,2,2
2022-02-22,9500,0,2022,2,2
2022-02-22,20000,0,2022,2,2
2022-02-22,14850,0,2022,2,2
2022-02-22,12900,0,2022,2,2
2022-02-22,14850,0,2022,2,2
2022-02-22,14500,1,2022,2,2
2022-02-22,19800,0,2022,2,2
2022-02-22,12800,0,2022,2,2
2022-02-22,15000,0,2022,2,2
2022-02-22,11900,1,2022,2,2
2022-02-22,9500,1,2022,2,2
2022-02-22,14300,0,2022,2,2
2022-02-22,13500,0,2022,2,2
2022-02-22,6000,1,2022,2,2
2022-02-22,9500,0,2022,2,2
2022-02-22,4500,1,2022,2,2
2022-02-22,7000,0,2022,2,2
2022-02-22,10900,1,2022,2,2
2022-02-22,17500,0,2022,2,2
2022-02-22,10890,1,2022,2,2
2022-02-22,12900,0,2022,2,2
2022-02-22,18900,0,2022,2,2
2022-02-22,8900,1,2022,2,2
2022-02-22,9000,1,2022,2,2
2022-02-22,13900,0,2022,2,2
2022-02-22,15000,0,2022,2,2
2022-02-22,7950,1,2022,2,2
2022-02-22,12900,0,2022,2,2
2022-02-22,8000,1,2022,2,2
2022-02-22,9000,1,2022,2,2
2022-02-22,10000,0,2022,2,2
2022-02-22,15900,0,2022,2,2
2022-02-22,9700,1,2022,2,2
2022-02-22,8500,0,2022,2,2
2022-02-22,8000,0,2022,2,2
2022-02-22,14850,0,2022,2,2
2022-02-22,8800,1,2022,2,2
2022-02-22,17490,0,2022,2,2
2022-02-22,8400,1,2022,2,2
2022-02-22,13900,1,2022,2,2
2022-02-15,8000,0,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,23000,0,2022,2,2
2022-02-15,17900,0,2022,2,2
2022-02-15,7350,1,2022,2,2
2022-02-15,6000,1,2022,2,2
2022-02-15,14500,1,2022,2,2
2022-02-15,9200,0,2022,2,2
2022-02-15,9200,0,2022,2,2
2022-02-15,18000,0,2022,2,2
2022-02-15,7499,0,2022,2,2
2022-02-15,14900,0,2022,2,2
2022-02-15,8100,1,2022,2,2
2022-02-15,16900,0,2022,2,2
2022-02-15,6500,1,2022,2,2
2022-02-15,8500,0,2022,2,2
2022-02-15,9500,1,2022,2,2
2022-02-15,6000,1,2022,2,2
2022-02-15,7900,0,2022,2,2
2022-02-15,7100,1,2022,2,2
2022-02-15,2500,1,2022,2,2
2022-02-15,10500,1,2022,2,2
2022-02-15,7000,0,2022,2,2
2022-02-15,9900,1,2022,2,2
2022-02-15,7499,0,2022,2,2
2022-02-15,12500,1,2022,2,2
2022-02-15,15300,0,2022,2,2
2022-02-15,20900,0,2022,2,2
2022-02-15,6900,1,2022,2,2
2022-02-15,8900,1,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,8500,0,2022,2,2
2022-02-15,11800,1,2022,2,2
